fauf,materialnummer,menge,arbeitsstation,eventtyp,zustand,zeitstempel,tag_id
PO-03,Car-03,1,B-03,Generation,Unfallfahrzeug mit Heckschaden,2025-01-07 08:05:46.044+01,84b31b00000b805c
PO-03,Car-03,1,B-03,Exit,Unfallfahrzeug mit Heckschaden,2025-01-07 08:06:16.69+01,84b31b00000b805c
PO-06,Car-06,1,B-03,Generation,Unfallfahrzeug mit Heckschaden,2025-01-07 08:10:01.496+01,84b31b00000b806c
PO-06,Car-06,1,B-03,Exit,Unfallfahrzeug mit Heckschaden,2025-01-07 08:10:45.984+01,84b31b00000b806c
PO-03,Car-03,1,Goods-In,Entry,Unfallfahrzeug mit Heckschaden,2025-01-07 08:12:01.191+01,84b31b00000b805c
PO-09,Car-09,1,Goods-In,Generation,Unfallfahrzeug mit Heckschaden,2025-01-07 08:12:01.734+01,84b31b00000b807c
PO-06,Car-06,1,Goods-In,Entry,Unfallfahrzeug mit Heckschaden,2025-01-07 08:12:01.752+01,84b31b00000b806c
PO-10,Car-10,1,Goods-In,Generation,Produktionsfehler an Stoßdämpfern,2025-01-07 08:12:01.931+01,84b31b00000b807d
PO-06,Car-06,1,Goods-In,Exit,Unfallfahrzeug mit Heckschaden,2025-01-07 08:12:30.951+01,84b31b00000b806c
PO-10,Car-10,1,Goods-In,Exit,Produktionsfehler an Stoßdämpfern,2025-01-07 08:12:45.907+01,84b31b00000b807d
PO-03,Car-03,1,Goods-In,Exit,Unfallfahrzeug mit Heckschaden,2025-01-07 08:12:45.954+01,84b31b00000b805c
PO-09,Car-09,1,Goods-In,Exit,Unfallfahrzeug mit Heckschaden,2025-01-07 08:12:46.275+01,84b31b00000b807c
PO-04,Car-04,1,B-03,Generation,Totalschaden,2025-01-07 08:55:00.762+01,84b31b00000b8060
PO-04,Car-04,1,B-03,Exit,Totalschaden,2025-01-07 08:57:45.845+01,84b31b00000b8060
PO-01,Car-01,1,WS-03,Generation,Unfallfahrzeug mit Heckschaden,2025-01-07 09:26:16.19+01,84b31b00000b8055
PO-01,Car-01,1,WS-03,Exit,Unfallfahrzeug mit Heckschaden,2025-01-07 09:27:01.255+01,84b31b00000b8055
PO-01,BOSP,1,WS-03,Generation,Unfallfahrzeug mit Heckschaden,2025-01-07 09:27:15.892+01,84b31b00000b8178
PO-01,Car-01,1,WS-03,Entry,Unfallfahrzeug mit Heckschaden,2025-01-07 09:27:46.004+01,84b31b00000b8055
PO-01,BOSP,1,WS-03,Exit,Unfallfahrzeug mit Heckschaden,2025-01-07 09:27:46.347+01,84b31b00000b8178
PO-01,BOSP,1,B-Transfer,Generation,Unfallfahrzeug mit Heckschaden,2025-01-07 09:27:46.347+01,84b31b00000b8178
