fauf,materialnummer,menge,arbeitsstation,eventtyp,zustand,zeitstempel,tag_id
PO-01,Car-01,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-13 08:47:15.871+01,84b31b00000b8055
PO-01,Car-01,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-13 08:49:01.078+01,84b31b00000b8055
PO-04,Car-04,1,WS-02,Generation,Hochwertiges Altfahrzeug,2025-01-10 11:28:00.929+01,84b31b00000b8060
PO-05,Car-05,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-13 08:55:45.852+01,84b31b00000b8062
PO-10,Car-10,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-13 08:57:01.55+01,84b31b00000b807d
PO-10,Car-10,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-13 08:57:15.741+01,84b31b00000b807d
PO-05,Car-05,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-13 08:57:16.507+01,84b31b00000b8062
PO-02,Car-02,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:13:16.128+01,84b31b00000b805b
PO-02,Car-02,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:13:31.046+01,84b31b00000b805b
PO-01,Car-01,1,B-01,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:30:15.758+01,84b31b00000b8055
PO-01,Car-01,1,WS-01,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:30:31.52+01,84b31b00000b8055
PO-01,BOSP,1,WS-01,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:31:00.696+01,84b31b00000b814c
PO-01,Car-01,1,B-01,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:31:31.45+01,84b31b00000b8055
PO-01,BOSP,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-13 09:31:31.984+01,84b31b00000b814c
PO-02,Car-02,1,Goods-In,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:31:46.129+01,84b31b00000b805b
PO-05,Car-05,1,Goods-In,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:32:15.814+01,84b31b00000b8062
PO-01,BOSP,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-13 09:32:15.929+01,84b31b00000b814c
PO-08,Car-08,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:32:16.258+01,84b31b00000b8072
PO-01,BAT,1,WS-01,Generation,Hochwertiges Altfahrzeug,2025-01-13 09:32:16.311+01,84b31b00000b80ab
