fauf,materialnummer,menge,arbeitsstation,eventtyp,zustand,zeitstempel,tag_id
Test,Test,1,Goods-Out,Generation,Neufahrzeug mit Motorschaden,2025-01-08 08:30:01.455+01,84b31b00000b8190
Test,Test,1,Goods-Out,Exit,Neufahrzeug mit Motorschaden,2025-01-08 08:31:00.908+01,84b31b00000b8190
Test,Test,1,WS-02,Generation,Neufahrzeug mit Motorschaden,2025-01-08 08:31:00.908+01,84b31b00000b8190
Test,Test,1,WS-02,Entry,Neufahrzeug mit Motorschaden,2025-01-08 08:31:00.908+01,84b31b00000b8190
Test,Test,1,B-Transfer,Entry,Neufahrzeug mit Motorschaden,2025-01-08 08:31:30.828+01,84b31b00000b8190
Test,Test,1,WS-02,Exit,Neufahrzeug mit Motorschaden,2025-01-08 08:31:30.828+01,84b31b00000b8190
Test,Test,1,WS-02,Entry,Neufahrzeug mit Motorschaden,2025-01-08 08:32:00.976+01,84b31b00000b8190
Test,Test,1,B-Transfer,Exit,Neufahrzeug mit Motorschaden,2025-01-08 08:32:00.976+01,84b31b00000b8190
PO-10,Car-10,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:05:46.051+01,84b31b00000b807d
PO-10,Car-10,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:07:45.742+01,84b31b00000b807d
PO-01,Car-01,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:27:01.055+01,84b31b00000b8055
PO-01,Car-01,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:27:31.286+01,84b31b00000b8055
PO-01,Car-01,1,WS-01,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:27:31.286+01,84b31b00000b8055
PO-01,Car-01,1,WS-01,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:27:31.286+01,84b31b00000b8055
PO-02,Car-02,1,WS-02,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:29:00.878+01,84b31b00000b805b
PO-01,BOSP,1,WS-01,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:29:00.87+01,84b31b00000b8091
PO-01,BOSP,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:29:31.057+01,84b31b00000b8091
PO-01,BOSP,1,B-Transfer,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:29:31.057+01,84b31b00000b8091
PO-01,BOSP,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:29:31.057+01,84b31b00000b8091
PO-03,Car-03,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:30:15.937+01,84b31b00000b805c
PO-02,BOSP,1,WS-02,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:30:16.321+01,84b31b00000b80cb
PO-01,BAT,1,WS-01,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:30:00.737+01,84b31b00000b8097
PO-01,Car-01,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:30:30.994+01,84b31b00000b8055
PO-02,BOSP,1,B-02,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:30:31.287+01,84b31b00000b80cb
PO-01,BOSP,1,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:30:45.72+01,84b31b00000b8091
PO-02,BOSP,1,WS-02,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:30:45.995+01,84b31b00000b80cb
PO-02,BOSP,1,B-02,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:30:45.995+01,84b31b00000b80cb
PO-02,BOSP,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:30:45.995+01,84b31b00000b80cb
PO-02,BOSP,1,Goods-In,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:30:45.995+01,84b31b00000b80cb
PO-01,Car-01,1,WS-01,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:30:46.273+01,84b31b00000b8055
PO-02,BOSP,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:31:01.608+01,84b31b00000b80cb
PO-02,BOSP,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:31:01.608+01,84b31b00000b80cb
PO-01,BAT,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:31:17.452+01,84b31b00000b8097
PO-01,BAT,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:31:31.182+01,84b31b00000b8097
PO-02,Car-02,1,WS-02,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:31:46.359+01,84b31b00000b805b
PO-02,Car-02,1,B-02,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:31:46.359+01,84b31b00000b805b
PO-02,Car-02,1,B-02,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:31:46.359+01,84b31b00000b805b
PO-01,Car-01,1,Goods-In,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:32:03.87+01,84b31b00000b8055
PO-01,Car-01,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:32:03.87+01,84b31b00000b8055
PO-04,Car-04,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:32:15.825+01,84b31b00000b8060
PO-02,BAT,1,WS-02,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:31:46.255+01,84b31b00000b8148
PO-01,Car-01,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:32:30.842+01,84b31b00000b8055
PO-02,BAT,1,WS-02,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:32:45.891+01,84b31b00000b8148
PO-02,BAT,1,B-Transfer,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:32:45.891+01,84b31b00000b8148
PO-02,BAT,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:32:45.891+01,84b31b00000b8148
PO-02,Car-02,1,WS-02,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:32:46.039+01,84b31b00000b805b
PO-02,Car-02,1,B-02,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:32:46.039+01,84b31b00000b805b
PO-01,Car-01,1,WS-01,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:32:46.088+01,84b31b00000b8055
PO-01,RT,1,WS-01,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:32:46.065+01,84b31b00000b8190
PO-05,Car-05,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:33:00.938+01,84b31b00000b8062
PO-02,BAT,1,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:33:01.425+01,84b31b00000b8148
PO-01,BAT,1,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:33:16.181+01,84b31b00000b8097
PO-01,RT,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:33:16.519+01,84b31b00000b8190
PO-01,RT,1,B-Transfer,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:33:16.519+01,84b31b00000b8190
PO-01,RT,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:33:16.519+01,84b31b00000b8190
PO-02,BAT,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:33:16.896+01,84b31b00000b8148
PO-01,BOSP,1,WS-03,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:33:30.787+01,84b31b00000b8091
PO-01,BAT,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:33:45.778+01,84b31b00000b8097
PO-01,BOSP,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:34:01.187+01,84b31b00000b8091
PO-01,BOSP,1,WS-03,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:34:01.187+01,84b31b00000b8091
PO-02,RT,2,WS-02,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:34:00.757+01,84b31b00000b8133
PO-03,Car-03,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:34:30.902+01,84b31b00000b805c
PO-02,RT,2,WS-02,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:34:31.572+01,84b31b00000b8133
PO-02,RT,2,B-Transfer,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:34:31.572+01,84b31b00000b8133
PO-02,RT,2,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:34:31.572+01,84b31b00000b8133
PO-06,Car-06,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:34:31.611+01,84b31b00000b806c
PO-02,Car-02,1,WS-02,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:34:45.745+01,84b31b00000b805b
PO-02,BAT,1,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:34:46.148+01,84b31b00000b8148
PO-03,Car-03,1,Goods-In,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:34:46.352+01,84b31b00000b805c
PO-02,Car-02,1,WS-02,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:35:00.792+01,84b31b00000b805b
PO-02,BAT,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:35:16.453+01,84b31b00000b8148
PO-01,FT,1,WS-01,Generation,Hochwertiges Altfahrzeug,2025-01-08 09:35:15.804+01,84b31b00000b8176
PO-01,Car-01,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:35:46.527+01,84b31b00000b8055
PO-01,Car-01,1,WS-01,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:36:01.075+01,84b31b00000b8055
PO-01,FT,1,WS-01,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:36:01.235+01,84b31b00000b8176
PO-04,Car-04,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:36:01.616+01,84b31b00000b8060
PO-01,FT,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:36:15.738+01,84b31b00000b8176
PO-02,RT,2,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:36:16.509+01,84b31b00000b8133
PO-04,Car-04,1,Goods-In,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:36:30.762+01,84b31b00000b8060
PO-01,BAT,1,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-08 09:36:30.829+01,84b31b00000b8097
PO-01,Car-01,1,WS-05,Entry,Hochwertiges Altfahrzeug,2025-01-08 09:36:31.265+01,84b31b00000b8055
