fauf,materialnummer,menge,arbeitsstation,eventtyp,zustand,zeitstempel,tag_id
PO-06,SSA,2,WS-03,Exit,Hochwertiges Altfahrzeug,2025-01-09 07:47:31.249+01,84b31b00000b80af
PO-07,Car-07,1,B-Transfer,Generation,Hochwertiges Altfahrzeug,2025-01-09 08:08:46.42+01,84b31b00000b806d
PO-07,Car-07,1,B-Transfer,Exit,Hochwertiges Altfahrzeug,2025-01-09 08:09:16.532+01,84b31b00000b806d
PO-01,Car-01,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-09 10:54:31.403+01,84b31b00000b8055
PO-01,Car-01,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-09 10:54:46.385+01,84b31b00000b8055
PO-01,Car-01,1,WS-03,Generation,Hochwertiges Altfahrzeug,2025-01-09 10:54:46.385+01,84b31b00000b8055
PO-01,Car-01,1,WS-03,Entry,Hochwertiges Altfahrzeug,2025-01-09 10:54:46.385+01,84b31b00000b8055
PO-02,Car-02,1,WS-01,Generation,Totalschaden,2025-01-09 10:55:46.181+01,84b31b00000b805b
PO-01,BAT,1,WS-03,Generation,Hochwertiges Altfahrzeug,2025-01-09 10:56:16.549+01,84b31b00000b80ae
PO-09,Car-09,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-09 10:56:46.083+01,84b31b00000b807c
PO-05,Car-05,1,Goods-In,Generation,Produktionsfehler an Stoßdämpfern,2025-01-09 10:56:46.112+01,84b31b00000b8062
PO-03,Car-03,1,WS-02,Generation,Hochwertiges Altfahrzeug,2025-01-09 10:57:01.47+01,84b31b00000b805c
PO-01,BAT,1,WS-03,Exit,Hochwertiges Altfahrzeug,2025-01-09 10:57:16.519+01,84b31b00000b80ae
PO-01,BAT,1,B-Transfer,Generation,Hochwertiges Altfahrzeug,2025-01-09 10:57:16.519+01,84b31b00000b80ae
PO-01,BAT,1,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-09 10:57:16.519+01,84b31b00000b80ae
PO-04,Car-04,1,Goods-In,Generation,Hochwertiges Altfahrzeug,2025-01-09 10:57:30.868+01,84b31b00000b8060
PO-09,Car-09,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-09 10:57:30.875+01,84b31b00000b807c
PO-01,RT,2,WS-03,Generation,Hochwertiges Altfahrzeug,2025-01-09 10:57:31.485+01,84b31b00000b80bb
PO-03,BOSP,1,WS-02,Generation,Hochwertiges Altfahrzeug,2025-01-09 10:57:31.57+01,84b31b00000b80b7
PO-04,Car-04,1,Goods-In,Exit,Hochwertiges Altfahrzeug,2025-01-09 10:57:45.895+01,84b31b00000b8060
PO-04,Car-04,1,WS-04,Generation,Hochwertiges Altfahrzeug,2025-01-09 10:57:45.895+01,84b31b00000b8060
PO-04,Car-04,1,WS-04,Entry,Hochwertiges Altfahrzeug,2025-01-09 10:57:45.895+01,84b31b00000b8060
PO-05,Car-05,1,Goods-In,Exit,Produktionsfehler an Stoßdämpfern,2025-01-09 10:57:46.349+01,84b31b00000b8062
PO-02,BOSP,1,WS-01,Generation,Totalschaden,2025-01-09 10:57:46.474+01,84b31b00000b814c
PO-02,BOSP,1,WS-01,Exit,Totalschaden,2025-01-09 10:58:00.69+01,84b31b00000b814c
PO-02,BOSP,1,B-Transfer,Generation,Totalschaden,2025-01-09 10:58:00.69+01,84b31b00000b814c
PO-02,BOSP,1,B-Transfer,Entry,Totalschaden,2025-01-09 10:58:00.69+01,84b31b00000b814c
PO-03,BOSP,1,WS-02,Exit,Hochwertiges Altfahrzeug,2025-01-09 10:58:01.085+01,84b31b00000b80b7
PO-01,RT,2,WS-03,Exit,Hochwertiges Altfahrzeug,2025-01-09 10:58:01.552+01,84b31b00000b80bb
PO-01,RT,2,B-Transfer,Entry,Hochwertiges Altfahrzeug,2025-01-09 10:58:15.833+01,84b31b00000b80bb
PO-02,BOSP,1,B-Transfer,Exit,Totalschaden,2025-01-09 10:58:30.724+01,84b31b00000b814c
PO-05,Car-05,1,Goods-In,Entry,Produktionsfehler an Stoßdämpfern,2025-01-09 10:58:31.35+01,84b31b00000b8062
PO-03,BAT,1,WS-02,Generation,Hochwertiges Altfahrzeug,2025-01-09 10:58:16.292+01,84b31b00000b8179
